metric,mean_creative_true,mean_creative_false,difference
novelty_distinct_n,0.8830955738134499,0.8561396578158822,0.026955915997567748
novelty_distinct_n_norm,0.5219237986699333,0.47508925486065723,0.0468345438092761
novelty_mattr,0.8098835792239695,0.7906123476623157,0.01927123156165378
novelty_mattr_norm,0.5413672987357264,0.48944112565750314,0.05192617307822328
novelty_ngram_rarity,11.839649931138657,11.66302248275974,0.17662744837891786
novelty_ngram_rarity_norm,0.568320917420758,0.5086010806797873,0.0597198367409707
novelty_score,0.5253058468538215,0.4945591062326406,0.030746740621180935
novelty_semantic_distance_centroid,0.5787805802580239,0.6092578501437583,-0.030477269885734404
novelty_semantic_distance_centroid_norm,0.4696113725888687,0.5040138364707091,-0.03440246388184037
surprise_distance_to_neighbors,0.6196798361729885,0.59344469958038,0.026235136592608455
surprise_distance_to_neighbors_norm,0.5217316879923966,0.4942240688822193,0.02750761911017724
surprise_divergent_idea_count,18.204545454545453,14.785634118967453,3.4189113355780005
surprise_divergent_idea_count_norm,0.5944566900383913,0.5427810321877461,0.05167565785064521
surprise_divergent_score,20.951288419774293,17.15242039776756,3.798868022006733
surprise_divergent_score_norm,0.592292015252303,0.5430216471069118,0.04927036814539121
surprise_prompt_response_distance,0.4054692016131636,0.3397033150226806,0.06576588659048299
surprise_prompt_response_distance_norm,0.5874815664999108,0.52818301508516,0.05929855141475082
surprise_score,0.5538323549547504,0.5205731417016092,0.033259213253141184
surprise_unexpected_variance,0.1423081292041379,0.1498035999397772,-0.0074954707356393036
surprise_unexpected_variance_norm,0.47057295410574324,0.49515461829518315,-0.02458166418943991
value_bertscore_f1,-0.020365387581346178,-0.005521443927899928,-0.01484394365344625
value_bertscore_f1_norm,0.4981672951861381,0.5081095406055992,-0.009942245419461093
value_local_coherence,0.37158293158480893,0.37874136263782726,-0.007158431053018333
value_local_coherence_norm,0.5005834330168201,0.5097129432588268,-0.0091295102420067
value_rouge_l_prompt_response,0.450823895451896,0.5404645576246011,-0.08964066217270511
value_rouge_l_prompt_response_norm,0.4390656646403583,0.5019704136549692,-0.0629047490146109
value_score,0.479523521802523,0.507382710820863,-0.027859189018339947
