,Estimate (Log-Odds),CI Lower,CI Upper,P-value
cat_recipes,-0.47145730541582626,-0.7894675589148827,-0.15344705191676972,0.0036644383521978923
cat_recommendations,-0.1972716757151808,-0.5308553250623971,0.13631197363203548,0.24642938921650448
cat_administrative,-0.07605717826265757,-0.5169363057600889,0.3648219492347737,0.7352739907654394
conv_turns,-0.0023693273421115327,-0.017292873408552366,0.012554218724329302,0.7556695326188538
cat_explanations,0.03405019847250981,-0.23061533254310598,0.29871572948812564,0.8009200159897527
output_len_diff_scaled,0.038907155149533794,0.030355616350242566,0.04745869394882502,4.778011891786016e-19
cat_coach,0.04593797049626556,-0.3259277330759689,0.41780367406850005,0.8086858404967397
cat_iasummit,0.09695891003379833,-0.10811968348868123,0.3020375035562779,0.35410855671481545
cat_stories,0.10189918331032237,-0.23899007549347084,0.4427884421141156,0.5579590555739025
cat_ideas,0.18942352996239262,-0.17299638126614889,0.5518434411909341,0.30564593971140097
cat_languages,0.26635350823750387,-0.22061505228788686,0.7533220687628945,0.28370805425360124
