,Coef,SE,95% CI lower,95% CI upper
const,-3.263708979364343,0.041403906608933595,-3.344860636317853,-3.182557322410833
output_len_diff_scaled,-2.587886617965746,0.04688813487791615,-2.6797873623264614,-2.49598587360503
conv_turns,-2.7610648878934025,0.046330400599152805,-2.851872473067742,-2.670257302719063
cat_administrative,-2.460682196715267,0.03739246781718009,-2.53397143363694,-2.387392959793594
cat_coach,-2.0452239597992823,0.05567338469293448,-2.154343793797434,-1.9361041258011307
cat_explanations,-2.879269632686027,0.04777920307559261,-2.9729168707141884,-2.7856223946578655
cat_iasummit,-1.6456642910413366,0.05698447874988256,-1.7573538693911064,-1.5339747126915668
cat_ideas,-3.001765383508524,0.03908067299513653,-3.0783635025789913,-2.9251672644380564
cat_languages,-2.8821411153908754,0.051926376368961864,-2.9839168130740408,-2.78036541770771
cat_recipes,-3.0679070642652553,0.04184420416341718,-3.149921704425553,-2.9858924241049576
cat_recommendations,-2.5845547333467707,0.06367397527504594,-2.7093557248858606,-2.4597537418076807
cat_stories,-1.9506360797211733,0.039973150652336344,-2.0289834549997523,-1.872288704442594
